Time,LeftEncoder,RightEncoder,EstimatedDistance
36.672,189.00288,356.91752,9.007686600000001
36.70399999999999,188.9652,356.9552,9.007686600000001
36.736000000000004,188.92752,356.99288,9.0076866
36.768,188.88356,357.03056,9.00758298
36.8,188.84588,357.07452,9.007686600000001
36.831999999999994,188.8082,357.1122,9.0076866
36.864000000000004,188.77052,357.14988,9.0076866
36.896,188.73284,357.18756,9.0076866
36.928,188.68888,357.22524,9.00758298
36.959999999999994,188.6512,357.26292,9.00758298
36.992000000000004,188.61352,357.30688,9.0076866
37.024,188.57584,357.34456,9.0076866
37.056,188.53816,357.38224,9.007686600000001
37.087999999999994,188.50048,357.41992,9.0076866
37.120000000000005,188.45652,357.4576,9.00758298
37.152,188.41884,357.50156,9.0076866
37.184,188.38116,357.53924,9.0076866
37.215999999999994,188.34348,357.57692,9.0076866
37.248000000000005,188.3058,357.6146,9.0076866
37.28,188.26812,357.65228,9.007686600000001
37.312,188.22416,357.68996,9.00758298
37.343999999999994,188.18648,357.73392,9.0076866
37.37599999999999,188.1488,357.7716,9.0076866
37.408,188.11112,357.80928,9.0076866
37.44,188.07344,357.84696,9.007686600000001
37.471999999999994,188.03576,357.88464,9.007686600000001
37.50399999999999,187.9918,357.92232,9.00758298
37.536,187.95412,357.96628,9.0076866
37.568,187.91644,358.00396,9.0076866
37.599999999999994,187.87876,358.04164,9.0076866
37.63199999999999,187.84108,358.07932,9.007686600000001
37.664,187.79712,358.117,9.00758298
37.696,187.75944,358.16096,9.0076866
37.727999999999994,187.72176,358.19864,9.007686600000001
37.75999999999999,187.68408,358.23632,9.0076866
37.792,187.6464,358.274,9.0076866
37.824,187.60872,358.31168,9.0076866
37.855999999999995,187.56476,358.34936,9.00758298
37.88799999999999,187.52708,358.39332,9.007686600000001
37.92,187.4894,358.431,9.0076866
37.952,187.45172,358.46868,9.0076866
37.983999999999995,187.41404,358.50636,9.0076866
38.01599999999999,187.37636,358.54404,9.0076866
38.048,187.3324,358.58172,9.00758298
38.08,187.29472,358.62568,9.0076866
38.111999999999995,187.25704,358.66336,9.0076866
38.14399999999999,187.21936,358.70104,9.0076866
38.176,187.18168,358.73872,9.0076866
38.208,187.13772,358.7764,9.00758298
38.239999999999995,187.10004,358.81408,9.00758298
38.27199999999999,187.06236,358.85804,9.007686600000001
38.304,187.02468,358.89572,9.0076866
38.336,186.987,358.9334,9.0076866
38.367999999999995,186.94932,358.97108,9.0076866
38.39999999999999,186.90536,359.00876,9.00758298
38.432,186.86768,359.05272,9.007686600000001
38.464,186.83,359.0904,9.0076866
38.495999999999995,186.79232,359.12808,9.0076866
38.52799999999999,186.75464,359.16576,9.0076866
38.56,186.71696,359.20344,9.007686600000001
38.592,186.673,359.24112,9.00758298
38.623999999999995,186.63532,359.28508,9.0076866
38.65599999999999,186.59764,359.32276,9.007686600000001
38.688,186.55996,359.36044,9.0076866
38.72,186.52228,359.39812,9.007686600000001
38.751999999999995,186.47832,359.4358,9.007582979999999
38.78399999999999,186.44064,359.47348,9.00758298
38.816,186.40296,359.51744,9.007686600000001
38.848,186.36528,359.55512,9.0076866
38.879999999999995,186.3276,359.5928,9.0076866
38.91199999999999,186.28992,359.63048,9.0076866
38.944,186.24596,359.66816,9.00758298
38.976,186.20828,359.71212,9.007686600000001
39.007999999999996,186.1706,359.7498,9.0076866
39.03999999999999,186.13292,359.78748,9.007686600000001
39.072,186.09524,359.82516,9.0076866
39.104,186.05756,359.86284,9.0076866
39.135999999999996,186.0136,359.90052,9.00758298
39.16799999999999,185.97592,359.94448,9.0076866
39.2,185.93824,359.98216,9.007686600000001
39.232,185.90056,360.01984,9.007686600000001
39.263999999999996,185.86288,360.05752,9.0076866
39.29599999999999,185.81892,360.0952,9.00758298
39.328,185.78124,360.13288,9.00758298
39.36,185.74356,360.17684,9.007686600000001
39.391999999999996,185.70588,360.21452,9.0076866
39.42399999999999,185.6682,360.2522,9.0076866
39.456,185.63052,360.28988,9.0076866
39.488,185.58656,360.32756,9.00758298
39.519999999999996,185.54888,360.37152,9.0076866
39.55199999999999,185.5112,360.4092,9.0076866
39.584,185.47352,360.44688,9.0076866
39.616,185.43584,360.48456,9.0076866
39.647999999999996,185.39816,360.52224,9.007686600000001
39.67999999999999,185.3542,360.55992,9.007582979999999
39.712,185.31652,360.60388,9.0076866
39.744,185.27884,360.64156,9.007686600000001
39.775999999999996,185.24116,360.67924,9.0076866
39.80799999999999,185.20348,360.71692,9.007686600000001
39.84,185.1658,360.7546,9.0076866
39.872,185.12184,360.79228,9.00758298
39.903999999999996,185.08416,360.83624,9.0076866
39.93599999999999,185.04648,360.87392,9.0076866
39.968,185.0088,360.9116,9.007686600000001
40.0,184.97112,360.94928,9.0076866
40.032,184.92716,360.98696,9.00758298
40.06399999999999,184.88948,361.03092,9.0076866
40.096000000000004,184.8518,361.0686,9.0076866
40.128,184.81412,361.10628,9.007686600000001
40.16,184.77644,361.14396,9.007686600000001
40.19199999999999,184.73876,361.18164,9.007686600000001
40.224000000000004,184.6948,361.21932,9.00758298
40.256,184.65712,361.26328,9.007686600000001
40.288,184.61944,361.30096,9.0076866
