time_s,step,error_m
47.150,291,0.284749
47.442,292,0.188285
47.736,293,0.452963
48.051,294,0.157865
48.366,295,0.187445
48.676,296,0.072340
49.061,297,0.130077
49.412,298,0.121549
49.736,299,0.088408
50.047,300,0.111783
50.366,301,0.080091
50.684,302,0.059865
50.996,303,0.063099
51.299,304,0.179782
51.604,305,0.140884
51.918,306,0.041728
52.243,307,0.109998
52.580,308,0.078141
52.923,309,0.322436
53.366,310,0.166242
53.388,311,0.074925
53.753,312,0.049158
54.087,313,0.071371
54.415,314,0.169869
54.750,315,0.152437
55.065,316,0.111119
55.367,317,0.101011
55.692,318,0.015156
56.040,319,0.057845
56.497,320,0.064207
56.942,321,0.075837
57.357,322,0.069895
57.730,323,0.198963
58.093,324,0.228370
58.453,325,0.258762
58.805,326,0.128295
59.144,327,0.052630
59.496,328,0.129197
59.847,329,0.034978
60.224,330,0.187522
60.593,331,0.076028
60.987,332,0.035790
61.411,333,0.119097
61.783,334,0.053086
62.158,335,0.226196
62.527,336,0.228440
62.889,337,0.041908
63.234,338,0.099598
63.589,339,0.065138
63.944,340,0.121401
64.320,341,0.088436
64.698,342,0.084684
65.131,343,0.066243
65.543,344,0.064656
65.955,345,0.128526
66.387,346,0.176574
66.937,347,0.117387
67.466,348,0.086219
67.995,349,0.143269
68.584,350,0.130736
69.163,351,0.062691
69.628,352,0.136095
70.043,353,0.110624
70.515,354,0.108557
70.543,355,0.218907
70.575,356,0.245212
70.608,357,0.069111
70.638,358,0.213914
70.673,359,0.045469
71.105,360,0.098693
71.457,361,0.082321
71.828,362,0.080897
72.219,363,0.081147
72.584,364,0.116044
72.610,365,0.187215
72.639,366,0.177141
72.665,367,0.073307
72.690,368,0.085434
72.729,369,0.078206
72.760,370,0.047668
72.790,371,0.071148
72.827,372,0.121552
72.872,373,0.167168
72.906,374,0.236550
72.943,375,0.129371
72.979,376,0.125611
73.020,377,0.043448
73.097,378,0.038039
73.180,379,0.120462
73.630,380,0.080996
73.682,381,0.024886
73.729,382,0.091421
74.131,383,0.152408
74.176,384,0.123727
74.222,385,0.183853
74.264,386,0.347991
74.703,387,0.150059
74.749,388,0.212187
74.779,389,0.066038
74.816,390,0.121259
74.859,391,0.077658
75.277,392,0.021084
75.314,393,0.061695
75.348,394,0.068814
75.385,395,0.054034
75.423,396,0.226736
75.460,397,0.171152
75.528,398,0.039257
75.587,399,0.175109
75.650,400,0.058631
75.716,401,0.064346
76.161,402,0.217940
76.694,403,0.131480
77.171,404,0.050807
77.224,405,0.076769
77.291,406,0.143642
77.761,407,0.053652
78.239,408,0.103426
78.283,409,0.176618
78.320,410,0.261663
78.748,411,0.194237
79.254,412,0.238025
79.301,413,0.024689
79.361,414,0.090465
79.964,415,0.086522
80.458,416,0.120939
80.496,417,0.025892
80.916,418,0.105867
81.413,419,0.233689
81.856,420,0.146404
81.888,421,0.155621
81.911,422,0.075875
81.940,423,0.095080
81.970,424,0.111584
82.000,425,0.048367
82.038,426,0.036229
82.081,427,0.084010
82.114,428,0.086681
82.156,429,0.240715
82.188,430,0.365615
82.658,431,0.252860
83.100,432,0.029842
83.131,433,0.060963
83.162,434,0.091171
83.200,435,0.124909
83.240,436,0.025853
83.275,437,0.029717
83.316,438,0.107769
83.352,439,0.104517
83.444,440,0.094894
83.513,441,0.126668
83.561,442,0.120198
83.636,443,0.193616
83.698,444,0.070126
83.767,445,0.167690
83.830,446,0.179245
84.321,447,0.153082
84.381,448,0.098445
84.840,449,0.070354
85.313,450,0.075835
85.773,451,0.037353
86.243,452,0.052134
86.712,453,0.178159
87.179,454,0.215925
87.648,455,0.200440
88.134,456,0.057841
88.157,457,0.058786
88.185,458,0.079462
88.674,459,0.134813
88.699,460,0.091723
88.725,461,0.109740
88.758,462,0.117146
88.788,463,0.096332
89.291,464,0.141621
89.771,465,0.068975
90.260,466,0.023803
90.283,467,0.101078
90.313,468,0.099891
90.340,469,0.076001
90.846,470,0.068059
90.872,471,0.026011
90.901,472,0.033120
