time,true_x,true_z,est_x,est_z
0.0,-0.34955284366713635,-0.552473361160158,-1.0035702475343267,-0.47732070188907544
0.032,-0.3528360049545806,-0.5567701935403743,-1.1404182220538248,-0.4990688434721555
0.064,-0.3563756117912659,-0.5649193195232624,-1.2890080757016218,-0.5641745042853612
0.096,-0.35998953727394506,-0.5733818620938662,-1.3965941425684363,-0.47657829708779675
0.128,-0.36377039091490554,-0.5822110168005163,-1.498065181055091,-0.366765608379424
0.16,-0.36741864822766623,-0.5907015875178726,-1.599419203632359,-0.25679782515390903
0.192,-0.37124783709048226,-0.5995905440952358,-1.7004526388368446,-0.14681186826405798
0.224,-0.37498796633613046,-0.6082403273285916,-1.8026772250021148,-0.037291588588848026
0.256,-0.37860390585593257,-0.616564616027334,-1.9050305102050007,0.07152613150584032
0.288,-0.38219958918516944,-0.6248310166902181,-2.0069670151034895,0.1803233854575771
0.32,-0.38606460838353207,-0.6337250988761077,-2.108429772342627,0.29072306856394
0.352,-0.38995246049421817,-0.642709418494117,-2.2096209714680546,0.40086242436852415
0.384,-0.39364749502021185,-0.6512482829523851,-2.3113459939428753,0.5085433009990518
0.416,-0.3973589156732013,-0.6597802186185976,-2.4127512480364546,0.6181923835550029
0.448,-0.40109018859516643,-0.6683097866186365,-2.5147987134532097,0.7266070736500032
0.48,-0.40494502949269856,-0.6770893691594382,-2.614084220009029,0.8346413657441318
0.512,-0.4085520547289415,-0.6853023064654779,-2.715961227406012,0.9430900962400448
0.544,-0.4122676579280032,-0.6937732055528721,-2.8185441706175123,1.0504305934905434
0.576,-0.41592342926797504,-0.7021672682316178,-2.9193869722473558,1.159129215941808
0.608,-0.41954242417703874,-0.7105096411656148,-3.020446120844583,1.2679715511871625
0.64,-0.4230696691094096,-0.7186685699713551,-3.121227964226749,1.3752712869177042
0.672,-0.4267906207275715,-0.7272642535180021,-3.2229948973673923,1.4820770684256925
0.704,-0.4306939756435729,-0.7362581371992782,-3.32456595451294,1.5903261400585773
0.736,-0.43447116212102666,-0.7449607858187767,-3.4256427725915755,1.6990132773488336
0.768,-0.4383510854659525,-0.7539453040985258,-3.52534275961211,1.809522516594319
0.8,-0.4420056365145569,-0.7624247468603389,-3.6266221654301587,1.9168049081215923
0.832,-0.4457073998177596,-0.7710016439143145,-3.7274601369445106,2.0257122437121153
0.864,-0.4494403294169518,-0.779627816787108,-3.830729471858613,2.131293693472051
0.896,-0.45320797687378833,-0.7883198724932171,-3.930997419005508,2.239484822080793
0.928,-0.45699862934010027,-0.7970877520644332,-4.031830834536696,2.3450568839027457
0.96,-0.4605307370080176,-0.8052663346088781,-4.12964619249322,2.4513161685653
0.992,-0.46425746502272197,-0.8138852476426794,-4.230685924215372,2.5598461694626815
1.024,-0.46800514386824493,-0.8225934373646165,-4.333126577030811,2.6682688241595094
1.056,-0.47169939174386566,-0.8311891173070196,-4.433605267238381,2.7774898290846215
1.088,-0.4753496794612533,-0.8397185664980404,-4.53393652075783,2.886150617126694
1.12,-0.4789193643380447,-0.8481125640141143,-4.636144749007251,2.993880001223595
1.152,-0.4825722217503304,-0.8567224112635363,-4.73821571865888,3.101854774969178
1.184,-0.48625308777638443,-0.8654487400996574,-4.839732887748068,3.208870942864865
1.216,-0.4897423963773979,-0.8737520372985673,-4.941443548796168,3.3176131458919103
1.248,-0.49319113460581177,-0.8819593565725984,-5.0,3.4241138121251318
1.28,-0.49669977833600376,-0.8903071344531976,-5.0,3.5311045811293162
1.312,-0.5004247076658231,-0.899169932553396,-5.0,3.6386667139405273
1.344,-0.5040349742986026,-0.9077439415331525,-5.0,3.746169308771614
1.376,-0.507529654674021,-0.9160284259380602,-5.0,3.8538421527556834
1.408,-0.5112794754928717,-0.9249029491351101,-5.0,3.962417281140575
1.44,-0.5148656474377666,-0.933396065395293,-5.0,4.070567049169036
1.472,-0.5186477595354043,-0.9423744458956913,-5.0,4.1801175401927155
1.504,-0.522167495491424,-0.9507425346063857,-5.0,4.288177644019786
1.536,-0.5258274904665009,-0.9594246144687819,-5.0,4.3960276894584736
1.568,-0.5294240762424626,-0.9679739700370409,-5.0,4.504298047918645
1.6,-0.5331281653297621,-0.9767917804666082,-5.0,4.611535610461211
1.632,-0.5367706176322538,-0.9854773435200511,-5.0,4.717452666240449
1.664,-0.5404167976777089,-0.9941813251162113,-5.0,4.825163326735508
1.696,-0.5439150677514335,-1.002555944507513,-5.0,4.930798816286489
1.728,-0.5475412532658194,-1.0112427911411945,-5.0,5.0
1.76,-0.5512293588536024,-1.0200884151691672,-5.0,5.0
1.792,-0.5547246459839046,-1.0284756583050039,-5.0,5.0
1.824,-0.5583243333428356,-1.0371093553021464,-5.0,5.0
1.856,-0.5618979222159424,-1.0456968818766237,-5.0,5.0
1.888,-0.5654263877857648,-1.0541970727868302,-5.0,5.0
1.92,-0.5690834789511612,-1.0629984024702444,-5.0,5.0
1.952,-0.5725854010061407,-1.0714033372091505,-5.0,5.0
1.984,-0.5761321564880507,-1.0799330816946255,-5.0,5.0
2.016,-0.5798574234348407,-1.088893411445856,-5.0,5.0
2.048,-0.5835267178835201,-1.0977641888918324,-5.0,5.0
2.08,-0.5870563007683388,-1.1063447993355373,-5.0,5.0
2.112,-0.5906464282229772,-1.1150872341844775,-5.0,5.0
2.144,-0.5942225542405277,-1.1237644381728804,-5.0,5.0
2.176,-0.5979446143536804,-1.1327669982855464,-5.0,5.0
2.208,-0.6014527169053006,-1.1412016720107812,-5.0,5.0
2.24,-0.6050632859367712,-1.1498879504148127,-5.0,5.0
2.272,-0.6086908368266859,-1.1586211194419822,-5.0,5.0
2.304,-0.6122802187002686,-1.1672927801013,-5.0,5.0
2.336,-0.6159217045842628,-1.1760864069450083,-5.0,5.0
2.368,-0.6192987166030502,-1.1842429801338614,-5.0,5.0
2.4,-0.62288057838377,-1.192839255779439,-5.0,5.0
2.432,-0.6266491094197638,-1.2018715939601117,-5.0,5.0
2.464,-0.630231586235957,-1.210431306343397,-5.0,5.0
2.496,-0.6340186894677294,-1.2194840860787683,-5.0,5.0
2.528,-0.637567432138405,-1.2279465693164549,-5.0,5.0
2.56,-0.6412573045900789,-1.2367518420387447,-5.0,5.0
2.592,-0.644831906210375,-1.2452713851365944,-5.0,5.0
2.624,-0.6483948686683605,-1.2537654344805025,-5.0,5.0
2.656,-0.6518858203513348,-1.2620615385466918,-5.0,5.0
2.688,-0.6555097235652888,-1.2706467428534622,-5.0,5.0
2.72,-0.6590790051171038,-1.2790883495314853,-5.0,5.0
2.752,-0.6627772756299292,-1.2877901875859872,-5.0,5.0
2.784,-0.6664746750782091,-1.2964878400717983,-5.0,5.0
2.816,-0.6701497843324754,-1.3050700371432447,-5.0,5.0
2.848,-0.6737724722807307,-1.3135115492788925,-5.0,5.0
2.88,-0.6775250421690682,-1.3222406516990335,-5.0,5.0
2.912,-0.6810288465947918,-1.3303890170651766,-5.0,5.0
2.944,-0.6847596066650672,-1.339064104098429,-5.0,5.0
2.976,-0.6885503878548953,-1.347882568505864,-5.0,5.0
3.008,-0.6920530079255605,-1.3560404129956076,-5.0,5.0
3.04,-0.6957668066783698,-1.3647198967771361,-5.0,5.0
3.072,-0.6994914185274841,-1.373452907041472,-5.0,5.0
3.104,-0.7032776536840593,-1.3823631478958043,-5.0,5.0
3.136,-0.7068741988984353,-1.3908499778766783,-5.0,5.0
3.168,-0.7104745039095669,-1.3993779227933603,-5.0,5.0
3.2,-0.7141526247143531,-1.4081272228640176,-5.0,5.0
3.232,-0.7179609231732933,-1.4172031297902585,-5.0,5.0
3.264,-0.7216778002217152,-1.4260573478240792,-5.0,5.0
3.296,-0.7252312480778463,-1.434532924383942,-5.0,5.0
3.328,-0.7286933278514719,-1.4427811043304473,-5.0,5.0
3.36,-0.7322444874604465,-1.4512427238251733,-5.0,5.0
3.392,-0.7358632315563733,-1.4598792071131799,-5.0,5.0
3.424,-0.7394369834686573,-1.4683876156470477,-5.0,5.0
3.456,-0.7432328122596031,-1.4774140209283868,-5.0,5.0
3.488,-0.746806214807871,-1.4859257389200546,-5.0,5.0
3.52,-0.750371396841053,-1.4944278169023444,-5.0,5.0
3.552,-0.7539824790568151,-1.5030688085861441,-5.0,5.0
3.584,-0.7576093854121447,-1.5117976318212436,-5.0,5.0
3.616,-0.7613496818386796,-1.520815771793603,-5.0,5.0
3.648,-0.7650405876098951,-1.5297193445173205,-5.0,5.0
3.68,-0.7684926039226249,-1.5380690308666018,-5.0,5.0
3.712,-0.771886632271209,-1.5462682434044188,-5.0,5.0
3.744,-0.7756021671212334,-1.5552493940943428,-5.0,5.0
3.776,-0.7790560112453381,-1.5636296721182232,-5.0,5.0
3.808,-0.7827115292787563,-1.5724734878466067,-5.0,5.0
3.84,-0.786441379944063,-1.5814960335288788,-5.0,5.0
3.872,-0.7900747945433662,-1.5902404573572457,-5.0,5.0
3.904,-0.7936543428725849,-1.5988091440063315,-5.0,5.0
3.936,-0.797413876034126,-1.6077846297580367,-5.0,5.0
3.968,-0.801132353086044,-1.6166600200359482,-5.0,5.0
4.0,-0.8046603767771096,-1.6251093485368509,-5.0,5.0
4.032,-0.8083159403627256,-1.6338701234404993,-5.0,5.0
4.064,-0.8119780108861234,-1.642631919343665,-5.0,5.0
4.096,-0.8156916258734267,-1.6515126980135135,-5.0,5.0
4.128,-0.8193167957773327,-1.66018323778595,-5.0,5.0
4.16,-0.8229081561319758,-1.6687948814556524,-5.0,5.0
4.192,-0.8264019127617351,-1.677220936258141,-5.0,5.0
4.224,-0.8299001258178328,-1.6856687134337494,-5.0,5.0
4.256,-0.8334452160225535,-1.6942353915641175,-5.0,5.0
4.288,-0.8369190507259047,-1.702624053825353,-5.0,5.0
4.32,-0.8406641245109826,-1.711650111896111,-5.0,5.0
4.352,-0.8444013389268861,-1.7206658639513988,-5.0,5.0
4.384,-0.8481528899663611,-1.7297099215707212,-5.0,5.0
4.416,-0.8517958384271517,-1.7384610579042612,-5.0,5.0
4.448,-0.8553737283106343,-1.747021217810991,-5.0,5.0
4.48,-0.8589191150591274,-1.7554916972018868,-5.0,5.0
4.512,-0.8625296208972839,-1.7641015888465545,-5.0,5.0
4.544,-0.8622210245790224,-1.7621889353025755,-5.0,5.0
4.576,-0.8653252274209773,-1.7686359306050687,-5.0,5.0
4.608,-0.8652179025706073,-1.7677413080758189,-5.0,5.0
4.64,-0.8687284751176588,-1.7702131031547481,-5.0,5.0
4.672,-0.8699642053385085,-1.7705823687417221,-5.0,5.0
4.704,-0.8714756169614716,-1.7707406298977186,-5.0,5.0
4.736,-0.8734030353571602,-1.7709329040308266,-5.0,5.0
4.768,-0.8757629761052367,-1.7712044194569336,-5.0,5.0
4.8,-0.8790334256926928,-1.773216945226909,-5.0,5.0
4.832,-0.8815366280064513,-1.7736771004150838,-5.0,5.0
