Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta
36,-0.7609865280764534,-2.6064533925556677,-1.569324708368924,-0.7869542531790662,-2.606544863996374,1.8810438695529252
37,-0.760983849549965,-2.6064541262328462,-1.5692962957009131,-0.7770417791961554,-2.5763804562674046,2.006087587001092
38,-0.7609811515553386,-2.6064548548667528,-1.5692676367506873,-0.7799568212395824,-2.557143437459631,2.099805371974471
39,-0.7609784337978215,-2.6064555781624286,-1.5692387337209759,-0.7399611545887839,-2.5611370604707986,2.1682692013000593
40,-0.7609756959712337,-2.606456297404706,-1.5692095897466858,-0.7538920692467196,-2.5628521178193306,2.1534450574653103
41,-0.7609729377966302,-2.606457013712563,-1.5691802070552616,-0.7317722334746027,-2.586070505384829,2.191244800038075
42,-0.7609701590167097,-2.6064577280099415,-1.5691505871383116,-0.7267468560184657,-2.577534300865896,2.0582026387159815
43,-0.7609673593912527,-2.6064584410578844,-1.5691207308947541,-0.736371609433924,-2.582689570232728,2.0028452081344645
44,-0.7609645386934798,-2.606459153483126,-1.5690906387454904,-0.7601565812003731,-2.577873753552211,1.9516182380117217
45,-0.7609616967071409,-2.606459865801744,-1.5690603107254912,-0.7426003074644345,-2.5964321687752596,1.9479262000171174
46,-0.7609588332241852,-2.6064605784386607,-1.5690297465577114,-0.7540460605710082,-2.6090733058678404,1.8331362829385922
47,-0.7609559480428989,-2.606461291743714,-1.5689989457124658,-0.7537072917611627,-2.630295094297561,1.7901631956786421
48,-0.7609530409664128,-2.6064620060049077,-1.5689679074550642,-0.7766730028985156,-2.558372631602992,1.8077558805043867
49,-0.7609501118015094,-2.6064627214593217,-1.5689366308840726,-0.7710440089059746,-2.592036996331929,1.7533894081069665
50,-0.7609471603576676,-2.6064634383021055,-1.5689051149619972,-0.76767509635904,-2.6180506104481407,1.7576419662649236
51,-0.7609441864462961,-2.606464156693878,-1.5688733585399302,-0.7696376596227448,-2.6376137886401825,1.639335840343687
52,-0.7609411874003865,-2.6064648765259584,-1.5688413511965504,-0.7717397875741298,-2.621317329262791,1.6060112111410854
53,-0.7609381623340468,-2.606465597887605,-1.5688090896592515,-0.7670156472125745,-2.625097848343908,1.6087285715394
54,-0.7609351110193765,-2.606466320887586,-1.568776573012497,-0.7817893464936757,-2.625492489822609,1.570845057042072
55,-0.7609320332307855,-2.606467045607396,-1.5687438001373992,-0.7874178370508284,-2.607881883980151,1.5980195575974083
56,-0.7609289287439926,-2.606467772115151,-1.5687107697585478,-0.7888101963229628,-2.6501801116658075,1.6034712461923455
57,-0.7609257973354603,-2.6064685004681856,-1.568677480472085,-0.7945536531256883,-2.5559583252020994,1.480819753532881
58,-0.7609226387819413,-2.6064692307148505,-1.568643930768184,-0.7781323301458627,-2.549066162074743,1.4162653365866553
59,-0.7609194528601129,-2.6064699628960004,-1.5686101190490576,-0.7892595584023235,-2.5520154310988326,1.3705070451428965
60,-0.7609162393462826,-2.6064706970462344,-1.5685760436433727,-0.7628122773153853,-2.6287515474166487,1.380782053742878
