Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta,RMSE
28,0.22041327756344453,-2.466721103989702,-1.5154392956154286,0.5693575783788786,-0.6397022689728888,2.4133232824944475,1.8600429964325462
29,0.2206931160422387,-2.4616091882583007,-1.5154140987105105,0.395366066903255,-0.8562521012366997,-2.7353929167419553,1.6148318849381738
30,0.2209730795404324,-2.4564972732491546,-1.5153889005549508,0.28450076240221694,-1.0154971010749976,0.38956997791160414,1.4423998276122116
31,0.22125316943746628,-2.4513853606262606,-1.515363701345155,0.20104216965723307,-0.8048486329016832,0.882435385220768,1.6466607665995068
32,0.22153338661825997,-2.4462734514456983,-1.5153385012119538,0.29321495464861974,-0.9743560742632911,1.8660111689114225,1.4736617700296184
33,0.221813731649884,-2.441161546378284,-1.5153133002434842,0.1804318972951787,-0.8165678766252087,2.4477156902811488,1.6251206256817754
34,0.2220942048952617,-2.4360496458506704,-1.5152880984999233,0.5138400948166273,-0.8363866493092361,-2.237578346321039,1.6260496200269936
35,0.22237480658633732,-2.430937750134768,-1.5152628960230057,0.34051182355398457,-0.8144685258199016,-0.2725750890964531,1.6207804008980122
36,0.2226555368711464,-2.425825859404408,-1.5152376928421831,0.21659975642692442,-0.736159488231438,-1.4467946309155675,1.6896772231256545
37,0.22293639584408417,-2.4207139737712513,-1.5152124889786363,0.36718657468215177,-0.7319479616634433,-1.8652206849032356,1.6949155606534867
38,0.22321738356535553,-2.415602093307542,-1.5151872844478882,0.400960202492068,-0.8465294171625343,-2.146702175408049,1.5791078407458023
39,0.2234985000734595,-2.410490218060526,-1.5151620792615406,0.219470895912327,-0.7580165543231925,-0.47091250340553903,1.6524785720065371
40,0.22377974539319134,-2.4053783480615847,-1.5151368734284079,0.3126317127216822,-1.0265544099804131,-2.468013580670103,1.3816838004130372
41,0.22406111954075864,-2.400266483332019,-1.5151116669552984,0.2915782967576539,-0.7446197230395257,-3.0366947823902284,1.6570228616667806
42,0.2243426225270422,-2.395154623886715,-1.515086459847526,0.5566243953223323,-0.7727592667020639,-1.5538173638396,1.6560730272383197
43,0.22462425435966407,-2.3900427697364623,-1.5150612521092868,0.5266768829839462,-0.6923824304958123,-2.4561794181701146,1.7243220168777982
44,0.22490601504428948,-2.3849309208894267,-1.5150360437439119,0.2392503282455546,-1.0096908525390924,-1.3969442598881725,1.3753148748259243
45,0.22518790458543814,-2.3798190773520744,-1.5150108347540512,0.46305911677919026,-0.8435380471234507,-0.6526370484870089,1.5545874428384037
46,0.22546992298698124,-2.374707239129766,-1.5149856251418137,0.3697318234071113,-0.8941568905114835,1.3792536453635817,1.4875620426410945
47,0.22575207025243832,-2.369595406227129,-1.514960414908877,0.34997069507521483,-0.8171136780600984,-0.8494557360937603,1.557443348261937
48,0.22603434638514772,-2.3644835786482967,-1.5149352040565613,0.485390155883413,-0.909436046047084,-0.7397460681983093,1.477981311806539
49,0.22631675138835705,-2.3593717563970618,-1.5149099925859026,0.5503808197255667,-0.9198228654232955,-1.0016688478742533,1.4755739662555258
50,0.22659928526526493,-2.3542599394769748,-1.5148847804977017,0.3543530539981017,-0.8723111420377693,-0.25029241882422054,1.4874452136656833
51,0.22688194801903247,-2.3491481278914117,-1.5148595677925678,0.3594689813193334,-0.7097924113143367,-2.40401381102872,1.6447086328202059
52,0.2271647396527785,-2.3440363216436197,-1.51483435447096,0.449749470889422,-0.8173946874236422,2.3070014084310153,1.5427827591445051
53,0.22744766016956536,-2.3389245207367497,-1.5148091405332083,0.4180385594145963,-0.898100504896393,0.7631721422040648,1.4533749466319288
54,0.22773070957238126,-2.333812725173883,-1.5147839259795512,0.28080016636190924,-1.0685661860952476,2.1745606612314474,1.266359021721092
55,0.22801388786412194,-2.328700934958052,-1.5147587108101492,0.4588117990939682,-0.7722072938600387,3.0715753359946185,1.5735120370072198
56,0.22829719504757393,-2.323589150092257,-1.5147334950251046,0.37715659539321383,-0.7125746181473519,-2.6131057924405123,1.6178772954735858
57,0.22858063112540106,-2.3184773705794854,-1.5147082786244792,0.4348008385840838,-0.9371936592780243,-2.4174954834435702,1.396592805749421
58,0.22886419610013445,-2.3133655964227238,-1.5146830616083025,0.23629057298422634,-0.8487248163424804,-0.027858795406093127,1.4646596074677856
59,0.22914788997416644,-2.308253827624973,-1.5146578439765823,0.49854544095437925,-0.7954659426992557,-2.717661158794648,1.5365878514592528
60,0.22943171274974902,-2.3031420641892644,-1.5146326257293132,0.2995275038667099,-0.710489507598347,0.7211319494211915,1.5941943375723984
61,0.22971566442899616,-2.298030306118667,-1.51460740686648,0.6106701343818107,-0.9607065696176994,-2.9344075464988726,1.3905254705994925
62,0.22999974501389048,-2.292918553416303,-1.5145821873880623,0.5439159345971404,-0.8593075659917344,2.1947574465292496,1.4675775404887175
63,0.23028395450629346,-2.287806806085358,-1.5145569672940355,0.4216656208144605,-0.9385796416440219,2.529313742270929,1.3627328731139123
64,0.23056829290795913,-2.2826950641290873,-1.5145317465843697,0.37523590832026127,-0.6960000520244558,0.19606242345646074,1.5932764293702453
65,0.23085276022055054,-2.277583327550827,-1.5145065252590324,0.3544786709353026,-0.8009659772802458,1.217564688563917,1.4817834406282733
66,0.2311373564456595,-2.272471596353996,-1.5144813033179811,0.16761178496665066,-0.724122161622511,-2.4288771010817265,1.5496520481272704
67,0.2314220815848273,-2.267359870542104,-1.5144560807611613,0.3582889444629869,-0.7332637909444834,-1.1563815780610565,1.5393329666882782
68,0.23170693563956793,-2.2622481501187544,-1.5144308575885075,0.4396007061211738,-0.764116751886257,0.5215638086501417,1.5124871920697762
69,0.23199191861139226,-2.257136435087641,-1.5144056337999323,0.36456724634572674,-0.948883590016457,-0.8306494682850181,1.314953126221887
70,0.23227703050183207,-2.2520247254525523,-1.5143804093953273,0.25500662477391944,-0.6076415471674133,-2.6433086635457785,1.6445402614356721
71,0.23256227131246487,-2.2469130212173645,-1.5143551843745517,0.2540030036440944,-0.8886968732290922,-1.5819773614369368,1.3583853686119478
72,0.23284764104493744,-2.2418013223860402,-1.5143299587374313,0.3589743220779559,-0.8613934368352295,2.0865217314441633,1.3861579528175225
73,0.2331331397009887,-2.2366896289626212,-1.5143047324837524,0.43079912901623396,-0.7600444821406349,2.6262432380674747,1.4898163420250499
74,0.23341876728247113,-2.2315779409512215,-1.5142795056132583,0.39876812286464025,-0.838039836852762,1.1984678286255197,1.403313527678604
75,0.23370452379136997,-2.2264662583560173,-1.5142542781256392,0.3402454512433988,-0.8300256743597428,-1.676556952865476,1.4004989374698558
76,0.23399040922981998,-2.221354581181237,-1.5142290500205378,0.5922858348018064,-0.961812990185768,-1.2123053848170595,1.3095116003431233
77,0.23427642360011983,-2.216242909431153,-1.5142038212975342,0.4130875822810972,-0.7213102329797344,-0.21230512911739927,1.5055886349169334
78,0.23456256690474317,-2.2111312431100645,-1.5141785919561521,0.5010018452434628,-0.9337520462478196,-0.7505405254374058,1.3048706838679807
79,0.2348488391463466,-2.2060195822222903,-1.5141533619958518,0.14736568465194586,-0.7750237869442868,-1.3975841357690435,1.4336674190423724
80,0.23513524032777405,-2.2009079267721514,-1.5141281314160295,0.44377387448179334,-0.7028736474994081,-1.2460463705820273,1.512493564131055
81,0.23542177045205764,-2.195796276763961,-1.514102900216019,0.42513688652009685,-0.8096298175716737,1.681084517759453,1.399088731229865
82,0.23570842952241544,-2.190684632202011,-1.5140776683950867,0.3647804816902996,-0.8793837836439629,-0.2706223777101142,1.3176378524009873
83,0.23599521754224512,-2.1855729930905574,-1.5140524359524405,0.44093358534344945,-0.8412996385054508,1.95408905747955,1.3598053487336037
84,0.2362821345151146,-2.1804613594338114,-1.5140272028872237,0.43995252646724453,-0.9658836400459897,2.251615870852226,1.2315358967530163
85,0.23656918044474928,-2.175349731235925,-1.5140019691985187,0.3492404871397756,-0.8736149697455167,-1.975362762674994,1.3066017804307686
86,0.23685635533501578,-2.1702381085009845,-1.5139767348853563,0.401644462946359,-0.8596407052725873,1.8430685391854609,1.3209166036351978
87,0.23714365918990432,-2.1651264912330004,-1.513951499946716,0.3188408517324101,-0.6947587846948418,1.8639679700128062,1.472635604519873
88,0.23743109201350734,-2.160014879435897,-1.5139262643815283,0.5027813121142624,-0.89493444113891,-2.55146269678064,1.2926094749262886
