Step,True_X,True_Z,True_Theta,Est_X,Est_Z,Est_Theta
1,-0.7610618463155702,-2.6059800119398986,-1.5701342433872592,0.30979134685038956,-0.7459849103082639,-0.3780837099452785
2,-0.7610611256127733,-2.606074501117635,-1.5701267003866919,-0.7199140676310937,-2.638135671593551,-1.8187312205240598
3,-0.7610601252513701,-2.6061506878802483,-1.5701142274254187,-0.7590114052286825,-2.703747512888094,-1.3426166131403956
4,-0.7610588760556056,-2.606211149504074,-1.5701000651228667,-0.7675512600058353,-2.7005781910181135,-1.4088002945372253
5,-0.761057443652183,-2.6062589368501268,-1.5700842187816209,-0.76976838412753,-2.6830300492727903,-1.4524003813220339
6,-0.7610558616071914,-2.6062966962247067,-1.5700669699441465,-0.7712628703688544,-2.6893843116474434,-1.501480492033321
7,-0.7610541566211176,-2.6063265552103605,-1.570048548187476,-0.7718847118218838,-2.662322859099085,-1.4665148800812384
8,-0.7610523500368448,-2.6063501947834418,-1.5700291390571341,-0.7738556646957392,-2.651804226792405,-1.4096133218852274
9,-0.761050458896855,-2.6063689386436844,-1.5700088929952334,-0.7720569048235281,-2.630330536890637,-1.2678551996700995
10,-0.7610484968011209,-2.606383828671801,-1.5699879320168293,-0.770239105914963,-2.619745467676101,-1.1886772031624457
11,-0.7610464745960827,-2.6063956849800682,-1.5699663550267184,-0.7623365645680322,-2.6129215177989873,-1.1750563433803198
12,-0.7610444009260832,-2.606405153195669,-1.5699442421297027,-0.7551252484921849,-2.6070720469686512,-1.2685515219217953
13,-0.7610422826744015,-2.6064127416350575,-1.5699216581376285,-0.7559791462257814,-2.6036973158923677,-1.3677361835085333
14,-0.7610401253159328,-2.606418850534893,-1.569898655424797,-0.7563180968549751,-2.598892774234654,-1.4933664675142215
15,-0.7610379331992062,-2.6064237950455,-1.5698752762528343,-0.759250622863507,-2.588284356775057,-1.5405350118944658
16,-0.761035709771896,-2.6064278233239944,-1.569851554663292,-0.7577326964573062,-2.595630833104293,-1.5352459026888368
17,-0.7610334577611472,-2.6064311307752916,-1.5698275180179535,-0.7617039147011182,-2.5942910493065208,-1.5274453378472994
18,-0.7610311793177676,-2.6064338712634685,-1.5698031882520862,-0.7573993102679325,-2.5950151211464982,-1.573736620027468
19,-0.7610288761315299,-2.606436165939352,-1.5697785828937862,-0.7621736913380992,-2.595082587243805,-1.6058204853877776
20,-0.7610265495233681,-2.60643811019196,-1.5697537158927775,-0.7641762112811953,-2.597835757233962,-1.6635123294662524
21,-0.7610242005191008,-2.6064397791229266,-1.5697285982940647,-0.7585405106993475,-2.604144452183571,-1.6700676665097025
22,-0.761021829908381,-2.60644123185796,-1.5697032387852634,-0.7618600853318679,-2.599071638972507,-1.663222133507565
23,-0.761019438291833,-2.6064425149424473,-1.5696776441411275,-0.7565121884672771,-2.594835618346021,-1.6750819011205906
24,-0.7610170261187446,-2.6064436650157696,-1.5696518195844458,-0.7587940412097139,-2.591236163194779,-1.615811153107185
25,-0.7610145937172025,-2.606444710917521,-1.5696257690789441,-0.7622955400262126,-2.598512267737435,-1.615066396490085
26,-0.761012141318191,-2.606445675346257,-1.569599495566893,-0.7653551334757781,-2.601585810309666,-1.5488733634665206
27,-0.7610096690748591,-2.6064465761657947,-1.5695730011617857,-0.7687637403555796,-2.591131401812312,-1.5637227916784406
28,-0.761007177077925,-2.606447427433908,-1.5695462873045567,-0.7681594512797397,-2.586191736879307,-1.5901239022737423
29,-0.7610046653679926,-2.606448240212365,-1.56951935489014,-0.7658141324948935,-2.5914179010989056,-1.5684392434064494
30,-0.7610021339453983,-2.6064490232047457,-1.5694922043700146,-0.7650769291911301,-2.5996328991318958,-1.551216384767161
31,-0.7609995827780834,-2.606449783258629,-1.5694648358352072,-0.7793769371802514,-2.6051830087037664,-1.5365671166371848
32,-0.7609970118078866,-2.606450525760958,-1.5694372490835051,-0.7804877922449507,-2.6159780635943553,-1.545302682028333
33,-0.7609944209555739,-2.6064512549492758,-1.569409443673816,-0.7817171127121552,-2.6032395509508772,-1.5091984891537233
34,-0.7609918101248593,-2.606451974156734,-1.5693814189701518,-0.7842562059456798,-2.604533535634837,-1.464224710233399
35,-0.7609891792056179,-2.606452686004927,-1.5693531741771738,-0.7809627246592681,-2.6033386015288147,-1.4621392908019857
36,-0.7609865280764534,-2.6064533925556677,-1.569324708368924,-0.7678854616955513,-2.5944211641764445,-1.397568731459631
37,-0.760983849549965,-2.6064541262328462,-1.5692962957009131,-0.7646731858301524,-2.6032791279856355,-1.4061711592098567
38,-0.7609811515553386,-2.6064548548667528,-1.5692676367506873,-0.7692288020097654,-2.622083362408405,-1.372450491802291
39,-0.7609784337978215,-2.6064555781624286,-1.5692387337209759,-0.7645915233247753,-2.6272525591328364,-1.3508054650058297
40,-0.7609756959712337,-2.606456297404706,-1.5692095897466858,-0.7639407156326797,-2.6175549680279064,-1.3823798487499706
41,-0.7609729377966302,-2.606457013712563,-1.5691802070552616,-0.767746619683026,-2.617333405457274,-1.4241931782862265
42,-0.7609701590167097,-2.6064577280099415,-1.5691505871383116,-0.7628934443971768,-2.6107613865723334,-1.4614823561416403
43,-0.7609673593912527,-2.6064584410578844,-1.5691207308947541,-0.7634210410407238,-2.6087492268230226,-1.4491706418434185
44,-0.7609645386934798,-2.606459153483126,-1.5690906387454904,-0.7677367276304123,-2.6083484876480623,-1.3877706923433166
45,-0.7609616967071409,-2.606459865801744,-1.5690603107254912,-0.7678606650332199,-2.6176173469425805,-1.383666867803716
46,-0.7609588332241852,-2.6064605784386607,-1.5690297465577114,-0.7612031405086545,-2.6148925468125057,-1.431739135143829
47,-0.7609559480428989,-2.606461291743714,-1.5689989457124658,-0.7624179240177578,-2.607839701897344,-1.4036642335587175
48,-0.7609530409664128,-2.6064620060049077,-1.5689679074550642,-0.7656474378958705,-2.60534696632704,-1.437893087807106
49,-0.7609501118015094,-2.6064627214593217,-1.5689366308840726,-0.7675540254402051,-2.6057623791021993,-1.4963331778287983
50,-0.7609471603576676,-2.6064634383021055,-1.5689051149619972,-0.7671856681675348,-2.6071734569028266,-1.5987157142025956
51,-0.7609441864462961,-2.606464156693878,-1.5688733585399302,-0.7698053395402826,-2.603967229921129,-1.623919780707825
52,-0.7609411874003865,-2.6064648765259584,-1.5688413511965504,-0.7696973435573741,-2.60504942827229,-1.6291313312829279
53,-0.7609381623340468,-2.606465597887605,-1.5688090896592515,-0.7657624947526191,-2.5982709775096455,-1.5951426845567012
54,-0.7609351110193765,-2.606466320887586,-1.568776573012497,-0.7660828739136488,-2.5842500051991926,-1.5463568382918842
55,-0.7609320332307855,-2.606467045607396,-1.5687438001373992,-0.767291582689362,-2.5868870187384063,-1.5842705502257266
56,-0.7609289287439926,-2.606467772115151,-1.5687107697585478,-0.7662347589438945,-2.591291962162811,-1.5866293379685295
57,-0.7609257973354603,-2.6064685004681856,-1.568677480472085,-0.7707181684125588,-2.5904391977534127,-1.5699611058090055
58,-0.7609226387819413,-2.6064692307148505,-1.568643930768184,-0.7695122195996261,-2.5908720612058143,-1.4990857692652209
59,-0.7609194528601129,-2.6064699628960004,-1.5686101190490576,-0.7716252091995599,-2.587622675089759,-1.5926285843826702
60,-0.7609162393462826,-2.6064706970462344,-1.5685760436433727,-0.7647049261806472,-2.5987114883176696,-1.6875805125440082
61,-0.7609129980161492,-2.606471433194936,-1.5685417028177977,-0.7659640133954746,-2.595096295929877,-1.7422620091349224
62,-0.7609097286446104,-2.6064721713671397,-1.5685070947862323,-0.7676190141992766,-2.600244149062107,-1.7178646710283807
63,-0.7609064310056054,-2.6064729115842518,-1.5684722177171828,-0.7688803123996737,-2.597736374382212,-1.642906913450393
64,-0.7609031048719873,-2.6064736538646502,-1.5684370697396595,-0.7692000480721377,-2.6069697225190973,-1.6424346237207321
65,-0.7608997500154181,-2.606474398224188,-1.5684016489478791,-0.7771938763489633,-2.6085226234047965,-1.6625264849809174
66,-0.7608963662062824,-2.6064751446766055,-1.5683659534049983,-0.7762566357301943,-2.617006491628496,-1.629380084827857
67,-0.7608929532136166,-2.606475893233879,-1.5683299811460991,-0.7804721189351932,-2.615805837273104,-1.4321943356484428
68,-0.7608895108050486,-2.6064766439065057,-1.5682937301805417,-0.774324838252094,-2.610482978656112,-1.352857564574422
69,-0.7608860387467492,-2.606477396703743,-1.5682571984938252,-0.7683492005822619,-2.6036989825115464,-1.324038615757821
70,-0.7608825368033878,-2.606478151633804,-1.5682203840490672,-0.7674095375155784,-2.6007513697777584,-1.4688268190285034
71,-0.7608790047380977,-2.6064789087040205,-1.5681832847881416,-0.7687182460788474,-2.6071096775855964,-1.3744485082466895
72,-0.7608754423124435,-2.6064796679209805,-1.5681458986325783,-0.7702940539154216,-2.5943384988115374,-1.2848527521600634
73,-0.7608718492863945,-2.606480429290637,-1.5681082234842505,-0.768453411618155,-2.592861897832462,-1.4136513290392478
74,-0.7608682254182992,-2.6064811928184017,-1.5680702572258949,-0.7596625005543729,-2.6012989218284934,-1.4438546522290931
75,-0.7608645704648641,-2.6064819585092174,-1.5680319977215091,-0.7732058052984875,-2.605563328347352,-1.4752020520390767
76,-0.7608608841811328,-2.6064827263676253,-1.567993442816631,-0.7731022520245728,-2.6017484098180366,-1.4113514284467918
77,-0.7608571663204678,-2.606483496397812,-1.5679545903385372,-0.7701034262252793,-2.6062773167961435,-1.3569498685826402
78,-0.7608534166345338,-2.6064842686036522,-1.5679154380963776,-0.7666950323198375,-2.6093425233933227,-1.0604447729808466
79,-0.7608496348732794,-2.606485042988744,-1.5678759838812502,-0.767595490356908,-2.6137503309967514,-0.7730623109002347
80,-0.7608458207849237,-2.6064858195564344,-1.5678362254662261,-0.7646606771518758,-2.613126556903702,-1.335325141034719
81,-0.7608419741159397,-2.606486598309844,-1.5677961606063464,-0.764959706605536,-2.6121742035726125,-1.9450420216038844
82,-0.7608380946110407,-2.6064873792518846,-1.5677557870385845,-0.7625757103199655,-2.620441866932546,-1.9733541220667907
83,-0.7608341820131652,-2.606488162385271,-1.5677151024817875,-0.7692229805831856,-2.613362235173762,-1.828486539852008
84,-0.7608302360634638,-2.606488947712536,-1.5676741046366016,-0.7692457291667372,-2.608920991836021,-2.1504087632282047
